"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype","ward"
"Purushottampur","WS_AP/PRS/2021-22/2216087","CONNECTION_ACTIVATED","WS/PRS/2096070","2022-03-02","2022-03-02",NULL,"13"
"Sambalpur","WS_AP/SMB/2021-22/2216025","CONNECTION_ACTIVATED","WS/SMB/2203239","2022-03-02","2022-03-02",NULL,"41"
"Sambalpur","WS_AP/SMB/2021-22/2216028","CONNECTION_ACTIVATED","WS/SMB/2203240","2022-03-02","2022-03-02",NULL,"41"
"Puri","WS_AP/PRI/2021-22/2216097","CONNECTION_ACTIVATED","WS/PRI/1939067","2022-03-02","2022-03-02",NULL,"11"
"Sambalpur","WS_AP/SMB/2021-22/2216036","CONNECTION_ACTIVATED","WS/SMB/2203243","2022-03-02","2022-03-02",NULL,"34"
"Puri","WS_AP/PRI/2021-22/2216099","CONNECTION_ACTIVATED","WS/PRI/2162857","2022-03-02","2022-03-02",NULL,"05"
"Sambalpur","WS_AP/SMB/2021-22/2216072","CONNECTION_ACTIVATED","WS/SMB/2203249","2022-03-02","2022-03-02",NULL,"34"
"Berhampur","WS_AP/BAM/2021-22/2216089","CONNECTION_ACTIVATED","WS/BAM/2203258","2022-03-02","2022-03-02",NULL,"33"
"Purushottampur","WS_AP/PRS/2021-22/2216092","CONNECTION_ACTIVATED","WS/PRS/2096605","2022-03-02","2022-03-02",NULL,"07"
"Purushottampur","WS_AP/PRS/2021-22/2216093","CONNECTION_ACTIVATED","WS/PRS/2097736","2022-03-02","2022-03-02",NULL,"13"
"Sambalpur","WS_AP/SMB/2021-22/2216074","CONNECTION_ACTIVATED","WS/SMB/2203250","2022-03-02","2022-03-02",NULL,"34"
"Puri","WS_AP/PRI/2021-22/2216107","REJECTED","WS/PRI/2162789","2022-03-02","2022-03-02",NULL,"05"
"Brajrajnagar","WS_AP/BJR/2021-22/2216196","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-03-02","2022-03-02",NULL,"06"
"Kodala","WS_AP/KDL/2021-22/2216197","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-03-02","2022-03-02",NULL,"10"
"Brajrajnagar","WS_AP/BJR/2021-22/2216199","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-03-02","2022-03-02",NULL,"06"
"Brajrajnagar","WS_AP/BJR/2021-22/2216208","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-03-02","2022-03-02",NULL,"06"
"Sambalpur","WS_AP/SMB/2021-22/2216076","CONNECTION_ACTIVATED","WS/SMB/2203252","2022-03-02","2022-03-02",NULL,"29"
"Gudayagiri","WS_AP/GUG/2021-22/2215594","CONNECTION_ACTIVATED","WS/GUG/2203254","2022-02-28","2022-03-02",NULL,"13"
"Bhubaneswar","WS_AP/BMC/2021-22/2216102","CONNECTION_ACTIVATED","WS/BMC/2203257","2022-03-02","2022-03-02",NULL,"04"
"Purushottampur","WS_AP/PRS/2021-22/2216061","CONNECTION_ACTIVATED","WS/PRS/2097900","2022-03-02","2022-03-02",NULL,"10"
"Purushottampur","WS_AP/PRS/2021-22/2216103","CONNECTION_ACTIVATED","WS/PRS/2095975","2022-03-02","2022-03-02",NULL,"13"
"Sambalpur","WS_AP/SMB/2021-22/2216109","CONNECTION_ACTIVATED","WS/SMB/2203261","2022-03-02","2022-03-02",NULL,"41"
"Sambalpur","WS_AP/SMB/2021-22/2216113","CONNECTION_ACTIVATED","WS/SMB/2203264","2022-03-02","2022-03-02",NULL,"41"
"Bhubaneswar","WS_AP/BMC/2021-22/2216105","PENDING_FOR_PAYMENT",NULL,"2022-03-02","2022-03-02",NULL,"65"
"Sambalpur","WS_AP/SMB/2021-22/2216114","CONNECTION_ACTIVATED","WS/SMB/2203265","2022-03-02","2022-03-02",NULL,"41"
"Puri","WS_AP/PRI/2021-22/2216112","REJECTED","WS/PRI/1816613","2022-03-02","2022-03-03",NULL,"09"
"Puri","WS_AP/PRI/2021-22/2216063","CONNECTION_ACTIVATED","WS/PRI/2029692","2022-03-02","2022-03-02",NULL,"10"
"Puri","WS_AP/PRI/2021-22/2216115","CONNECTION_ACTIVATED","WS/PRI/2029172","2022-03-02","2022-03-02",NULL,"09"
"Kodala","WS_AP/KDL/2021-22/2216212","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-03-02","2022-03-02",NULL,"03"
"Rambha","WS_AP/RMB/2021-22/2216120","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-03-02","2022-03-02",NULL,"12"
"Sambalpur","WS_AP/SMB/2021-22/2216116","CONNECTION_ACTIVATED","WS/SMB/2203266","2022-03-02","2022-03-02",NULL,"41"
"Puri","WS_AP/PRI/2021-22/2216127","CONNECTION_ACTIVATED","WS/PRI/1821491","2022-03-02","2022-03-02",NULL,"10"
"Sambalpur","WS_AP/SMB/2021-22/2216128","CONNECTION_ACTIVATED","WS/SMB/2203271","2022-03-02","2022-03-02",NULL,"41"
"Sambalpur","WS_AP/SMB/2021-22/2216132","CONNECTION_ACTIVATED","WS/SMB/2203274","2022-03-02","2022-03-02",NULL,"41"
"Bhawanipatna","WS_AP/BWP/2021-22/2216129","CONNECTION_ACTIVATED","WS/BWP/2204649","2022-03-02","2022-03-09",NULL,"10"
"Puri","WS_AP/PRI/2021-22/2216124","CONNECTION_ACTIVATED","WS/PRI/1812725","2022-03-02","2022-03-02",NULL,"10"
"Purushottampur","WS_AP/PRS/2021-22/2216090","CONNECTION_ACTIVATED","WS/PRS/2098487","2022-03-02","2022-03-02",NULL,"09"
"Bhawanipatna","WS_AP/BWP/2021-22/2216133","CONNECTION_ACTIVATED","WS/BWP/2204684","2022-03-02","2022-03-09",NULL,"13"
"Purushottampur","WS_AP/PRS/2021-22/2216078","CONNECTION_ACTIVATED","WS/PRS/2096121","2022-03-02","2022-03-02",NULL,"11"
"Sambalpur","WS_AP/SMB/2021-22/2216140","CONNECTION_ACTIVATED","WS/SMB/2203280","2022-03-02","2022-03-02",NULL,"41"
"Bhawanipatna","WS_AP/BWP/2021-22/2216137","CONNECTION_ACTIVATED","WS/BWP/2204604","2022-03-02","2022-03-09",NULL,"02"
"Puri","WS_AP/PRI/2021-22/2216119","CONNECTION_ACTIVATED","WS/PRI/1810006","2022-03-02","2022-03-02",NULL,"05"
"Sambalpur","WS_AP/SMB/2021-22/2216125","INITIATED","WS/SMB/1885149","2022-03-02","2022-03-02",NULL,"30"
"Sambalpur","WS_AP/SMB/2021-22/2216118","CONNECTION_ACTIVATED","WS/SMB/2203267","2022-03-02","2022-03-02",NULL,"41"
"Sambalpur","WS_AP/SMB/2021-22/2216121","CONNECTION_ACTIVATED","WS/SMB/2203268","2022-03-02","2022-03-02",NULL,"41"
"Bhawanipatna","WS_AP/BWP/2021-22/2216117","CONNECTION_ACTIVATED","WS/BWP/2204660","2022-03-02","2022-03-09",NULL,"16"
"Purushottampur","WS_AP/PRS/2021-22/2216088","CONNECTION_ACTIVATED","WS/PRS/2096681","2022-03-02","2022-03-02",NULL,"06"
"Sambalpur","WS_AP/SMB/2021-22/2216134","CONNECTION_ACTIVATED","WS/SMB/2203275","2022-03-02","2022-03-02",NULL,"41"
"Purushottampur","WS_AP/PRS/2021-22/2216098","CONNECTION_ACTIVATED","WS/PRS/2096684","2022-03-02","2022-03-02",NULL,"13"
"Purushottampur","WS_AP/PRS/2021-22/2216101","CONNECTION_ACTIVATED","WS/PRS/2097990","2022-03-02","2022-03-02",NULL,"13"
"Sambalpur","WS_AP/SMB/2021-22/2216136","CONNECTION_ACTIVATED","WS/SMB/2203277","2022-03-02","2022-03-02",NULL,"41"
"Sambalpur","WS_AP/SMB/2021-22/2216138","CONNECTION_ACTIVATED","WS/SMB/2203278","2022-03-02","2022-03-02",NULL,"41"
"Bhawanipatna","WS_AP/BWP/2021-22/2216147","CONNECTION_ACTIVATED","WS/BWP/2203471","2022-03-02","2022-03-03",NULL,"04"
"Phulbani","WS_AP/PLB/2021-22/2216150","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-03-02","2022-03-06",NULL,"05"
"Brajrajnagar","WS_AP/BJR/2021-22/2216153","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-03-02","2022-03-02",NULL,"06"
"Brajrajnagar","WS_AP/BJR/2021-22/2216157","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-03-02","2022-03-02",NULL,"06"
"Phulbani","WS_AP/PLB/2021-22/2216151","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-03-02","2022-03-06",NULL,"05"
"Phulbani","WS_AP/PLB/2021-22/2216152","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-03-02","2022-03-06",NULL,"05"
"Phulbani","WS_AP/PLB/2021-22/2216154","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-03-02","2022-03-06",NULL,"05"
"Phulbani","WS_AP/PLB/2021-22/2216156","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-03-02","2022-03-06",NULL,"05"
"Jharsuguda","WS_AP/JRS/2021-22/2216243","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-03-02","2022-03-02",NULL,"02"
"Bhubaneswar","WS_AP/BMC/2021-22/2216245","CONNECTION_ACTIVATED","WS/BMC/1504530","2022-03-02","2022-03-02",NULL,"65"
"Jharsuguda","WS_AP/JRS/2021-22/2216246","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-03-02","2022-03-02",NULL,"02"
"Phulbani","WS_AP/PLB/2021-22/2216148","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-03-02","2022-03-06",NULL,"05"
"Phulbani","WS_AP/PLB/2021-22/2216145","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-03-02","2022-03-06",NULL,"05"
"Phulbani","WS_AP/PLB/2021-22/2216158","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-03-02","2022-03-06",NULL,"05"
