"ulb","connectionno"
"Bhubaneswar","WS/BMC/2208082"
"Bhubaneswar","WS/BMC/2208083"
"Bhubaneswar","WS/BMC/2208084"
"Bhubaneswar","WS/BMC/2208085"
"Bhubaneswar","WS/BMC/2208086"
"Bhubaneswar","WS/BMC/2208087"
"Bhubaneswar","WS/BMC/2208088"
"Bhubaneswar","WS/BMC/2208089"
"Bhubaneswar","WS/BMC/2208090"
"Bhubaneswar","WS/BMC/2208091"
"Bhubaneswar","WS/BMC/2208092"
"Puri","WS/PRI/2206278"
"Gudayagiri","WS/GUG/2208611"
"Puri","WS/PRI/2206304"
"Choudwar","WS/CDR/2208094"
"Bhubaneswar","WS/BMC/2208098"
"Puri","WS/PRI/2206311"
"Choudwar","WS/CDR/2208095"
"Bhubaneswar","WS/BMC/2208097"
"Choudwar","WS/CDR/2208099"
"Choudwar","WS/CDR/2208100"
"Puri","WS/PRI/2206312"
"Puri","WS/PRI/2206315"
"Choudwar","WS/CDR/2208102"
"Puri","WS/PRI/2206317"
"Choudwar","WS/CDR/2208105"
"Choudwar","WS/CDR/2208107"
"Choudwar","WS/CDR/2208109"
"Choudwar","WS/CDR/2208112"
"Choudwar","WS/CDR/2208114"
"Bhubaneswar","WS/BMC/2208113"
"Bhubaneswar","WS/BMC/2208117"
"Choudwar","WS/CDR/2208116"
"Choudwar","WS/CDR/2208118"
"Choudwar","WS/CDR/2208119"
"Choudwar","WS/CDR/2208120"
"Choudwar","WS/CDR/2208123"
"Choudwar","WS/CDR/2208124"
"Choudwar","WS/CDR/2208125"
"Choudwar","WS/CDR/2208126"
"Jharsuguda","WS/JRS/2206374"
"Phulbani","WS/PLB/2208591"
"Phulbani","WS/PLB/2208597"
"Phulbani","WS/PLB/2208593"
"Phulbani","WS/PLB/2208594"
"Phulbani","WS/PLB/2208601"
"Phulbani","WS/PLB/2208598"
"Phulbani","WS/PLB/2208600"
"Phulbani","WS/PLB/2208605"
"Phulbani","WS/PLB/2208603"
"Bhawanipatna","WS/BWP/2208378"
"Phulbani","WS/PLB/2208608"
"Bhawanipatna","WS/BWP/2208726"
"Bhawanipatna","WS/BWP/2208735"
"Phulbani","WS/PLB/2208614"
"Bhawanipatna","WS/BWP/2208736"
"Phulbani","WS/PLB/2208609"
"Phulbani","WS/PLB/2208612"
"Phulbani","WS/PLB/2208613"
"Bhawanipatna","WS/BWP/2208733"
"Dhenkanal","WS/DKN/2208132"
"Bhawanipatna","WS/BWP/2208732"
"Phulbani","WS/PLB/2208615"
