"tenantid","connectionno"
"od.bhawanipatna","WS/BWP/2208520"
"od.puri","WS/PRI/2207809"
"od.bhawanipatna","WS/BWP/2208518"
"od.puri","WS/PRI/2207812"
"od.bhawanipatna","WS/BWP/2208516"
"od.puri","WS/PRI/2207816"
"od.bhawanipatna","WS/BWP/2208515"
"od.puri","WS/PRI/2207823"
"od.bhawanipatna","WS/BWP/2208514"
"od.puri","WS/PRI/2192569"
"od.bhawanipatna","WS/BWP/2208512"
"od.bhawanipatna","WS/BWP/2208509"
"od.puri","WS/PRI/2207832"
"od.puri","WS/PRI/2207839"
"od.puri","WS/PRI/2207857"
"od.cuttack","WS/CTC/2208018"
"od.puri","WS/PRI/2206021"
"od.jaleswar","WS/JLS/2208275"
"od.khariar","WS/KHR/2206034"
"od.khariar","WS/KHR/2207999"
"od.khariar","WS/KHR/2206035"
"od.puri","WS/PRI/2208015"
"od.khariar","WS/KHR/2206262"
"od.puri","WS/PRI/2206045"
"od.puri","WS/PRI/2206047"
"od.puri","WS/PRI/2206049"
"od.puri","WS/PRI/2206051"
"od.bhubaneswar","WS/BMC/2206054"
"od.bhawanipatna","WS/BWP/2208356"
"od.puri","WS/PRI/2206094"
"od.puri","WS/PRI/2206095"
"od.puri","WS/PRI/2206096"
"od.puri","WS/PRI/2206097"
"od.puri","WS/PRI/2206098"
"od.puri","WS/PRI/2206099"
"od.puri","WS/PRI/2206100"
"od.choudwar","WS/CDR/2208057"
"od.choudwar","WS/CDR/2208058"
"od.choudwar","WS/CDR/2208059"
"od.choudwar","WS/CDR/2208060"
"od.choudwar","WS/CDR/2208061"
"od.nilgiri","WS/NLG/2208063"
"od.choudwar","WS/CDR/2208062"
"od.nilgiri","WS/NLG/2208064"
"od.nilgiri","WS/NLG/2208065"
"od.nilgiri","WS/NLG/2208066"
"od.nilgiri","WS/NLG/2208068"
"od.khariar","WS/KHR/2208071"
"od.khariar","WS/KHR/2208072"
"od.khariar","WS/KHR/2208073"
"od.nilgiri","WS/NLG/2208074"
"od.bhubaneswar","WS/BMC/2208076"
"od.nilgiri","WS/NLG/2208077"
"od.nilgiri","WS/NLG/2208075"
"od.bhubaneswar","WS/BMC/2208079"
"od.khariar","WS/KHR/2208080"
"od.bhubaneswar","WS/BMC/2208081"
"od.khariar","WS/KHR/2208307"
"od.bhubaneswar","WS/BMC/2208082"
"od.bhubaneswar","WS/BMC/2208083"
"od.bhubaneswar","WS/BMC/2208084"
"od.bhubaneswar","WS/BMC/2208085"
"od.bhubaneswar","WS/BMC/2208086"
