"tenantid","connectionno"
"Phulbani","WS/PLB/2210003"
"Phulbani","WS/PLB/2210001"
"Phulbani","WS/PLB/2210002"
"Phulbani","WS/PLB/2210004"
"Khariar","WS/KHR/2205404"
"Phulbani","WS/PLB/2210005"
"Phulbani","WS/PLB/2210006"
"Phulbani","WS/PLB/2210011"
"Puri","WS/PRI/2208888"
"Phulbani","WS/PLB/2210012"
"Phulbani","WS/PLB/2210009"
"Phulbani","WS/PLB/2210008"
"Phulbani","WS/PLB/2210007"
"Phulbani","WS/PLB/2210010"
"Puri","WS/PRI/2208898"
"Puri","WS/PRI/2208900"
"Puri","WS/PRI/2208904"
"Phulbani","WS/PLB/2205737"
"Kabisuryanagar","WS/KBS/2210186"
"Kabisuryanagar","WS/KBS/2210193"
"Phulbani","WS/PLB/2210013"
"Phulbani","WS/PLB/2210014"
"Phulbani","WS/PLB/2210015"
"Phulbani","WS/PLB/2210016"
"Phulbani","WS/PLB/2210017"
"Phulbani","WS/PLB/2210018"
"Phulbani","WS/PLB/2210019"
"Phulbani","WS/PLB/2210021"
"Phulbani","WS/PLB/2210022"
"Phulbani","WS/PLB/2210020"
"Phulbani","WS/PLB/2210023"
"Phulbani","WS/PLB/2210024"
"Phulbani","WS/PLB/2210025"
"Puri","WS/PRI/2207418"
"Phulbani","WS/PLB/2210026"
"Berhampur","WS/BAM/2207452"
"Phulbani","WS/PLB/2210027"
"Bhawanipatna","WS/BWP/2210147"
"Phulbani","WS/PLB/2210029"
"Phulbani","WS/PLB/2210028"
"Berhampur","WS/BAM/2207484"
"Berhampur","WS/BAM/2207478"
"Berhampur","WS/BAM/2207491"
"Berhampur","WS/BAM/2207488"
"Phulbani","WS/PLB/2210037"
"Phulbani","WS/PLB/2210038"
"Phulbani","WS/PLB/2210031"
"Phulbani","WS/PLB/2210035"
"Phulbani","WS/PLB/2210030"
"Phulbani","WS/PLB/2210036"
"Phulbani","WS/PLB/2210039"
"Phulbani","WS/PLB/2210032"
"Phulbani","WS/PLB/2210040"
"Phulbani","WS/PLB/2210034"
"Bhawanipatna","WS/BWP/2210144"
"Phulbani","WS/PLB/2210041"
"Phulbani","WS/PLB/2210042"
"Phulbani","WS/PLB/2210043"
"Phulbani","WS/PLB/2210051"
"Phulbani","WS/PLB/2210045"
"Phulbani","WS/PLB/2210052"
"Phulbani","WS/PLB/2210044"
"Phulbani","WS/PLB/2210049"
"Phulbani","WS/PLB/2210046"
"Phulbani","WS/PLB/2210053"
"Phulbani","WS/PLB/2210054"
"Phulbani","WS/PLB/2210055"
"Phulbani","WS/PLB/2210056"
"Phulbani","WS/PLB/2210059"
"Phulbani","WS/PLB/2210057"
"Phulbani","WS/PLB/2210061"
"Phulbani","WS/PLB/2210058"
"Phulbani","WS/PLB/2210062"
"Phulbani","WS/PLB/2210063"
"Phulbani","WS/PLB/2210064"
"Phulbani","WS/PLB/2210065"
"Phulbani","WS/PLB/2210066"
"Phulbani","WS/PLB/2210068"
"Phulbani","WS/PLB/2210070"
"Phulbani","WS/PLB/2210069"
"Phulbani","WS/PLB/2210071"
"Phulbani","WS/PLB/2210072"
"Phulbani","WS/PLB/2210073"
"Phulbani","WS/PLB/2210074"
"Phulbani","WS/PLB/2210082"
"Phulbani","WS/PLB/2210083"
"Phulbani","WS/PLB/2210075"
"Phulbani","WS/PLB/2210078"
"Phulbani","WS/PLB/2210076"
"Puri","WS/PRI/2209091"
"Puri","WS/PRI/2209096"
"Puri","WS/PRI/2209100"
"Puri","WS/PRI/2209105"
"Puri","WS/PRI/2209102"
"Berhampur","WS/BAM/2205660"
"Puri","WS/PRI/2207691"
"Puri","WS/PRI/2207701"
"Puri","WS/PRI/2207710"
"Balliguda","WS/BLD/2210204"
"Puri","WS/PRI/2207772"
"Puri","WS/PRI/2207775"
"Puri","WS/PRI/2207779"
"Puri","WS/PRI/2207801"
"Puri","WS/PRI/2207803"
"Puri","WS/PRI/2207809"
"Puri","WS/PRI/2207812"
"Puri","WS/PRI/2207816"
"Puri","WS/PRI/2207823"
"Puri","WS/PRI/2207832"
"Puri","WS/PRI/2207839"
"Puri","WS/PRI/2207857"
"Khariar","WS/KHR/2207999"
"Puri","WS/PRI/2208015"
"Puri","WS/PRI/2209161"
"Puri","WS/PRI/2209162"
"Puri","WS/PRI/2209163"
"Puri","WS/PRI/2209164"
"Puri","WS/PRI/2209165"
"Puri","WS/PRI/2209166"
"Puri","WS/PRI/2209167"
"Puri","WS/PRI/2209168"
"Puri","WS/PRI/2209169"
"Puri","WS/PRI/2209961"
"Berhampur","WS/BAM/2206319"
"Berhampur","WS/BAM/2206325"
