"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype"
"Rourkela","WS_AP/RRK/2021-22/2172296","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170639","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-20","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2172279","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2172278","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170808","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2172276","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170642","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-20","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2172274","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2172258","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170644","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-20","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2172255","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Ganjam","WS_AP/GJM/2021-22/2172294","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170645","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-20","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2172253","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2172250","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170806","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2172234","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2172174","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-11","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172292","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2172172","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-11","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2172169","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-11","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2172166","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-11","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170649","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-20","2022-01-12","New Connection"
"Ganjam","WS_AP/GJM/2021-22/2172291","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2172162","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-11","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170652","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-20","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171669","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-06","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170653","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-20","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171666","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-06","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170655","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-20","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171662","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-06","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170657","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-20","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171659","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-06","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170804","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171656","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-06","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170779","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172289","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171603","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-04","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170780","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171602","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-04","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170782","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Ganjam","WS_AP/GJM/2021-22/2172288","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171600","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-04","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170784","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171599","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-04","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170787","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171597","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-04","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170802","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171594","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-04","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170661","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-20","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171590","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-04","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172286","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171585","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-04","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171584","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-04","2022-01-12","New Connection"
"Ganjam","WS_AP/GJM/2021-22/2172285","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171582","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-04","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171579","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-04","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171575","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-04","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171572","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-04","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171564","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-04","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2171553","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-04","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2170429","PENDING_FOR_FIELD_INSPECTION",NULL,"2021-12-17","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2170418","PENDING_FOR_FIELD_INSPECTION",NULL,"2021-12-17","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2170234","PENDING_FOR_FIELD_INSPECTION",NULL,"2021-12-15","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2170231","PENDING_FOR_FIELD_INSPECTION",NULL,"2021-12-15","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2170225","PENDING_FOR_FIELD_INSPECTION",NULL,"2021-12-15","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2170223","PENDING_FOR_FIELD_INSPECTION",NULL,"2021-12-15","2022-01-12","New Connection"
"Ganjam","WS_AP/GJM/2021-22/2172283","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2170222","PENDING_FOR_FIELD_INSPECTION",NULL,"2021-12-15","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2170221","PENDING_FOR_FIELD_INSPECTION",NULL,"2021-12-15","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2170219","PENDING_FOR_FIELD_INSPECTION",NULL,"2021-12-15","2022-01-12","New Connection"
"Banpur","WS_AP/BNP/2021-22/2172277","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-12","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172271","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172269","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
