"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype"
"Purushottampur","WS_AP/PRS/2021-22/2172079","CONNECTION_ACTIVATED","WS/PRS/2094519","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172074","CONNECTION_ACTIVATED","WS/PRS/2097060","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172104","CONNECTION_ACTIVATED","WS/PRS/2096601","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172121","CONNECTION_ACTIVATED","WS/PRS/2096529","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172095","CONNECTION_ACTIVATED","WS/PRS/2096598","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172108","CONNECTION_ACTIVATED","WS/PRS/2096603","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172091","CONNECTION_ACTIVATED","WS/PRS/2096596","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172140","REJECTED","WS/PRS/2095896","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172142","REJECTED","WS/PRS/2095899","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172136","REJECTED","WS/PRS/2096697","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172044","CONNECTION_ACTIVATED","WS/PRS/2097057","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172123","CONNECTION_ACTIVATED","WS/PRS/2097936","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172125","CONNECTION_ACTIVATED","WS/PRS/2096217","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172134","CONNECTION_ACTIVATED","WS/PRS/2098005","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172043","CONNECTION_ACTIVATED","WS/PRS/2097054","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172151","CONNECTION_ACTIVATED","WS/PRS/2096253","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172208","CONNECTION_ACTIVATED","WS/PRS/2097943","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172129","CONNECTION_ACTIVATED","WS/PRS/2098003","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172215","CONNECTION_ACTIVATED","WS/PRS/2096513","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172217","CONNECTION_ACTIVATED","WS/PRS/2096219","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172220","CONNECTION_ACTIVATED","WS/PRS/2098507","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172222","CONNECTION_ACTIVATED","WS/PRS/2093654","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172211","CONNECTION_ACTIVATED","WS/PRS/2098506","2022-01-12","2022-01-12","Modify Connection"
