root@kafka-v2-0:/# kafka-consumer-groups --bootstrap-server  kafka-v2.kafka-cluster:9092 --group egov-infra-persist  -describe

TOPIC                               PARTITION  CURRENT-OFFSET  LOG-END-OFFSET  LAG             CONSUMER-ID                                     HOST            CLIENT-ID
egf-bill-checklist-save-topic       0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-wf-businessservice             0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
pt-bulk-assessment-generation-audit 0          84              84              0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-hrms-employee                  0          8               8               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-demand                         0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-vehicle-trip                 0          118             118             0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-mr-marriageregistration        0          230             230             0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-ws-connection                  0          6073            6073            0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-apportion-request              0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-property-registry            0          19618           19618           0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-bpa-buildingplan             0          120             120             0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
egf-bill-billregister-save-topic    0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-vehicle-trip                   0          113             113             0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-bill-db                        0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
cancel-pt-propertyDetail            0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-noc-application              0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
egf-bill-checklist-update-topic     0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-bpa-dscdetails               0          17              17              0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-plant-map-application        0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-ws-filestoreids                0          3054            3054            0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-tl-billingslab                 0          1223            1223            0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
egov.collection.migration           0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-fn-workflow                  0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-vendor-application             0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-pg-txns                      0          1729            1729            0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-sw-connection                0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-apportion-response             0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-pt-billingslab                 0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-sw-connection                  0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-upload-jobs                  0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-fsm-workflow-application     0          261             261             0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-fn-firenoc                   0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-wf-transitions                 0          37047           37047           0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-tl-dscdetails                0          512             512             0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-pt-drafts                      0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
modify-tl-billingslab               0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
property-create-validated           0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-apportion-bill-response        0          36445           36445           0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-pgr-service                  0          68              68              0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-noc-workflow                 0          11              11              0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-user-events                    0          139819          139819          0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-fsm-billing-slab             0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-landinfo                       0          100             100             0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-bpa-workflow                 0          492             492             0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
