"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype","ward"
"Purushottampur","WS_AP/PRS/2021-22/2170986","CONNECTION_ACTIVATED","WS/PRS/2171598","2021-12-24","2022-01-19","New Connection","09"
"Purushottampur","WS_AP/PRS/2021-22/2170973","CONNECTION_ACTIVATED","WS/PRS/2171597","2021-12-24","2022-01-19","New Connection","08"
"Purushottampur","WS_AP/PRS/2021-22/2170985","CONNECTION_ACTIVATED","WS/PRS/2171596","2021-12-24","2022-01-19","New Connection","12"
"Chatrapur","WS_AP/CHH/2021-22/2174090","CONNECTION_ACTIVATED","WS/CHH/2171595","2022-01-19","2022-01-19","New Connection","01"
"Sambalpur","WS_AP/SMB/2021-22/2174104","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Sambalpur","WS_AP/SMB/2021-22/2174103","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Sambalpur","WS_AP/SMB/2021-22/2174101","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Sambalpur","WS_AP/SMB/2021-22/2174100","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Sambalpur","WS_AP/SMB/2021-22/2174099","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Sambalpur","WS_AP/SMB/2021-22/2174097","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Sambalpur","WS_AP/SMB/2021-22/2174096","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Sambalpur","WS_AP/SMB/2021-22/2174095","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Sambalpur","WS_AP/SMB/2021-22/2174093","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Ganjam","WS_AP/GJM/2021-22/2174091","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-19","2022-01-19","New Connection","07"
"Sambalpur","WS_AP/SMB/2021-22/2174092","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Sambalpur","WS_AP/SMB/2021-22/2174089","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Sambalpur","WS_AP/SMB/2021-22/2174085","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Sambalpur","WS_AP/SMB/2021-22/2174084","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Sambalpur","WS_AP/SMB/2021-22/2174083","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Bhanjanagar","WS_AP/BJN/2021-22/2170302","PENDING_FOR_PAYMENT",NULL,"2021-12-16","2022-01-19","New Connection","01"
