"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype","ward"
"Purushottampur","WS_AP/PRS/2021-22/2172504","CONNECTION_ACTIVATED","WS/PRS/2095412","2022-01-13","2022-01-13","Modify Connection","11"
"Purushottampur","WS_AP/PRS/2021-22/2172479","CONNECTION_ACTIVATED","WS/PRS/2094275","2022-01-13","2022-01-13","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172501","CONNECTION_ACTIVATED","WS/PRS/2094143","2022-01-13","2022-01-13","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172509","CONNECTION_ACTIVATED","WS/PRS/2094947","2022-01-13","2022-01-13","Modify Connection","07"
"Purushottampur","WS_AP/PRS/2021-22/2172516","CONNECTION_ACTIVATED","WS/PRS/2094146","2022-01-13","2022-01-13","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172512","CONNECTION_ACTIVATED","WS/PRS/2093744","2022-01-13","2022-01-13","Modify Connection","09"
"Purushottampur","WS_AP/PRS/2021-22/2172493","CONNECTION_ACTIVATED","WS/PRS/2093677","2022-01-13","2022-01-13","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172507","REJECTED","WS/PRS/2095379","2022-01-13","2022-01-13","Modify Connection","07"
"Purushottampur","WS_AP/PRS/2021-22/2172525","CONNECTION_ACTIVATED","WS/PRS/2095136","2022-01-13","2022-01-13","Modify Connection","11"
"Purushottampur","WS_AP/PRS/2021-22/2172523","CONNECTION_ACTIVATED","WS/PRS/2094952","2022-01-13","2022-01-13","Modify Connection","07"
"Purushottampur","WS_AP/PRS/2021-22/2172524","CONNECTION_ACTIVATED","WS/PRS/2095433","2022-01-13","2022-01-13","Modify Connection","03"
"Purushottampur","WS_AP/PRS/2021-22/2172526","CONNECTION_ACTIVATED","WS/PRS/2095139","2022-01-13","2022-01-13","Modify Connection","02"
"Purushottampur","WS_AP/PRS/2021-22/2173085","INITIATED","WS/PRS/2095526","2022-01-17","2022-01-17","Modify Connection","03"
"Purushottampur","WS_AP/PRS/2021-22/2172527","CONNECTION_ACTIVATED","WS/PRS/2093642","2022-01-13","2022-01-13","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172528","CONNECTION_ACTIVATED","WS/PRS/2095493","2022-01-13","2022-01-13","Modify Connection","03"
"Purushottampur","WS_AP/PRS/2021-22/2172531","CONNECTION_ACTIVATED","WS/PRS/2094148","2022-01-13","2022-01-13","Modify Connection","09"
"Purushottampur","WS_AP/PRS/2021-22/2172529","CONNECTION_ACTIVATED","WS/PRS/2095384","2022-01-13","2022-01-13","Modify Connection","03"
"Purushottampur","WS_AP/PRS/2021-22/2172532","CONNECTION_ACTIVATED","WS/PRS/2095497","2022-01-13","2022-01-13","Modify Connection","12"
"Purushottampur","WS_AP/PRS/2021-22/2172530","CONNECTION_ACTIVATED","WS/PRS/2094496","2022-01-13","2022-01-13","Modify Connection","03"
"Purushottampur","WS_AP/PRS/2021-22/2172683","CONNECTION_ACTIVATED","WS/PRS/2095142","2022-01-15","2022-01-15","Modify Connection","02"
"Purushottampur","WS_AP/PRS/2021-22/2172677","CONNECTION_ACTIVATED","WS/PRS/2094166","2022-01-15","2022-01-15","Modify Connection","14"
"Purushottampur","WS_AP/PRS/2021-22/2172693","CONNECTION_ACTIVATED","WS/PRS/2094616","2022-01-15","2022-01-15","Modify Connection","14"
"Purushottampur","WS_AP/PRS/2021-22/2172697","CONNECTION_ACTIVATED","WS/PRS/2094704","2022-01-15","2022-01-15","Modify Connection","14"
"Purushottampur","WS_AP/PRS/2021-22/2172690","CONNECTION_ACTIVATED","WS/PRS/2095534","2022-01-15","2022-01-15","Modify Connection","03"
"Purushottampur","WS_AP/PRS/2021-22/2172705","CONNECTION_ACTIVATED","WS/PRS/2094697","2022-01-15","2022-01-15","Modify Connection","11"
"Purushottampur","WS_AP/PRS/2021-22/2172706","CONNECTION_ACTIVATED","WS/PRS/2094081","2022-01-15","2022-01-15","Modify Connection","11"
"Purushottampur","WS_AP/PRS/2021-22/2172699","CONNECTION_ACTIVATED","WS/PRS/2093661","2022-01-15","2022-01-15","Modify Connection","09"
"Purushottampur","WS_AP/PRS/2021-22/2172715","CONNECTION_ACTIVATED","WS/PRS/2093663","2022-01-15","2022-01-15","Modify Connection","10"
"Purushottampur","WS_AP/PRS/2021-22/2172718","CONNECTION_ACTIVATED","WS/PRS/2094154","2022-01-15","2022-01-15","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172719","CONNECTION_ACTIVATED","WS/PRS/2095127","2022-01-15","2022-01-15","Modify Connection","07"
"Purushottampur","WS_AP/PRS/2021-22/2172723","CONNECTION_ACTIVATED","WS/PRS/2095164","2022-01-15","2022-01-15","Modify Connection","09"
"Purushottampur","WS_AP/PRS/2021-22/2172721","CONNECTION_ACTIVATED","WS/PRS/2094176","2022-01-15","2022-01-15","Modify Connection","13"
"Purushottampur","WS_AP/PRS/2021-22/2172686","CONNECTION_ACTIVATED","WS/PRS/2095145","2022-01-15","2022-01-15","Modify Connection","03"
"Purushottampur","WS_AP/PRS/2021-22/2172773","CONNECTION_ACTIVATED","WS/PRS/2095168","2022-01-15","2022-01-15","Modify Connection","11"
"Purushottampur","WS_AP/PRS/2021-22/2172790","CONNECTION_ACTIVATED","WS/PRS/2095438","2022-01-15","2022-01-15","Modify Connection","08"
"Purushottampur","WS_AP/PRS/2021-22/2172793","CONNECTION_ACTIVATED","WS/PRS/2093750","2022-01-15","2022-01-15","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172849","CONNECTION_ACTIVATED","WS/PRS/2094620","2022-01-15","2022-01-15","Modify Connection","14"
"Purushottampur","WS_AP/PRS/2021-22/2172826","CONNECTION_ACTIVATED","WS/PRS/2094178","2022-01-15","2022-01-15","Modify Connection","13"
"Purushottampur","WS_AP/PRS/2021-22/2172829","CONNECTION_ACTIVATED","WS/PRS/2095043","2022-01-15","2022-01-15","Modify Connection","02"
"Purushottampur","WS_AP/PRS/2021-22/2172851","CONNECTION_ACTIVATED","WS/PRS/2093673","2022-01-15","2022-01-15","Modify Connection","08"
"Purushottampur","WS_AP/PRS/2021-22/2172856","CONNECTION_ACTIVATED","WS/PRS/2095320","2022-01-15","2022-01-15","Modify Connection","10"
"Purushottampur","WS_AP/PRS/2021-22/2172836","CONNECTION_ACTIVATED","WS/PRS/2095422","2022-01-15","2022-01-15","Modify Connection","11"
"Purushottampur","WS_AP/PRS/2021-22/2172840","CONNECTION_ACTIVATED","WS/PRS/2094573","2022-01-15","2022-01-15","Modify Connection","14"
"Purushottampur","WS_AP/PRS/2021-22/2172841","CONNECTION_ACTIVATED","WS/PRS/2093671","2022-01-15","2022-01-15","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172844","CONNECTION_ACTIVATED","WS/PRS/2095178","2022-01-15","2022-01-15","Modify Connection","07"
"Purushottampur","WS_AP/PRS/2021-22/2172846","CONNECTION_ACTIVATED","WS/PRS/2094961","2022-01-15","2022-01-15","Modify Connection","03"
"Aska","WS_AP/ASK/2021-22/2172843","CONNECTION_ACTIVATED","WS/ASK/2024230","2022-01-15","2022-01-15","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172854","CONNECTION_ACTIVATED","WS/PRS/2094577","2022-01-15","2022-01-15","Modify Connection","14"
"Purushottampur","WS_AP/PRS/2021-22/2172857","CONNECTION_ACTIVATED","WS/PRS/2095325","2022-01-15","2022-01-15","Modify Connection","09"
"Purushottampur","WS_AP/PRS/2021-22/2172701","CONNECTION_ACTIVATED","WS/PRS/2094242","2022-01-15","2022-01-15","Modify Connection","11"
"Purushottampur","WS_AP/PRS/2021-22/2172711","CONNECTION_ACTIVATED","WS/PRS/2095404","2022-01-15","2022-01-15","Modify Connection","11"
"Purushottampur","WS_AP/PRS/2021-22/2172847","CONNECTION_ACTIVATED","WS/PRS/2094563","2022-01-15","2022-01-15","Modify Connection","13"
"Purushottampur","WS_AP/PRS/2021-22/2172775","CONNECTION_ACTIVATED","WS/PRS/2095170","2022-01-15","2022-01-15","Modify Connection","11"
"Purushottampur","WS_AP/PRS/2021-22/2172821","CONNECTION_ACTIVATED","WS/PRS/2094618","2022-01-15","2022-01-15","Modify Connection","13"
"Purushottampur","WS_AP/PRS/2021-22/2172835","CONNECTION_ACTIVATED","WS/PRS/2094157","2022-01-15","2022-01-15","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172838","CONNECTION_ACTIVATED","WS/PRS/2095080","2022-01-15","2022-01-15","Modify Connection","10"
"Purushottampur","WS_AP/PRS/2021-22/2172868","CONNECTION_ACTIVATED","WS/PRS/2093713","2022-01-15","2022-01-15","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172833","CONNECTION_ACTIVATED","WS/PRS/2093665","2022-01-15","2022-01-15","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172870","CONNECTION_ACTIVATED","WS/PRS/2095001","2022-01-15","2022-01-15","Modify Connection","13"
"Purushottampur","WS_AP/PRS/2021-22/2172874","CONNECTION_ACTIVATED","WS/PRS/2094494","2022-01-15","2022-01-15","Modify Connection","03"
"Purushottampur","WS_AP/PRS/2021-22/2172818","CONNECTION_ACTIVATED","WS/PRS/2094708","2022-01-15","2022-01-15","Modify Connection","13"
